,comment
320,There will job losses in a matter of time. Of course new jobs will be created later meanwhile you will have to reinvent yourself to compete.
321,"i m big fan of microsoft i like how they are crushing google and apple but this is scary, I hope they should minimise the use of AL or else human effort will lose its relevance this is really scarry technology"
322,I still don’t care about openAI since it’s dataset end sep 2021 which means that a great analysis or something else you think you got by AI can be misinformations because AI can make up wrong information. So don’t rely 100% to AI as if it’s something mind blowing thing that can “think” for you… Btw if you think it can think for you and you think that it should do your work then ask yourself if you should invest your time in something else you like better to do than automate your work because you lost your sparkle in that job. Let someone else (a human of course) get your job who will enjoy the tasks.
323,That looks awesome to boost productivities.
324,The level of professionalism MS shown in this video is insane. I wonder...
325,"Totally thought she was going to say, ""The average person uses just 10% of their brain."""
326,ChatGPT x Xbox GamePass 💰
327,"It brought me to tears! No more struggle and sleepless nights for
Getting these charts, presentations, timelines, meeting and status summaries. The way to true creativity, strategic thinking, analysis, healthy debates. My motivation to move forward is boosted 100500%"
328,"Don´t be a fool, you won´t struggle anymore at your job because you're not gonna have one 🤣. I think people don't realize this is the begining of AI taking over humanity."
329,this is so crazy.. cant imagine what the future will be.. exponential of AI development..
330,if meeting summarys are based on transcripts i hope you fix the transcripts first. the ones i have seen so far were utter garbage
331,เอไอ โน AI
332,I've never been excited for Office Products in my entire life until now. LOL
333,Why pride and why don't you sell the office. What's with the Windows 11 looking like mac os and only installing on computers with TPM.
334,what about onenote?
335,"I really like the part, where the lady teaches us how you can use this technology to show your kids how proud you are of them while minimizing the effort necessary on your part. incredible"
336,"Yeah, instead of hugging your kids, let's offload human interactions to the computer. Nice! Job's done.
SMH"
337,"@KenniTheKid  that's not what happened, though. She went back, proofread the work and changed it into her own writing style."
338,@ShadowyZephyr they showed this bc showing faux business tasks is not as visual for the general public. Save time on your work and spend time on this personal presentation. Use help of AI if you don't know a tool
339,"@Cristopher Zuniga Microsoft Teams, LinkedIn for some time already supported pre-generated template responses. I detest the idea of machine communicating in my name but for sure this is not universal. Seeing where it is going, at least in Microsoft controlled ecosystem, it will turn out exactly as you are predicting."
340,"in the future, chatting on apps like whatsapp will just be AI talking to each other, and the person picking their most likely reponse."
341,This is scary
342,The drudgery of work is Microsoft products.
343,This brings the meaning of button pushers to a whole new level 😆
344,Imagine creating the pitch/presentation/email whatever with copilot and sending it or presenting to a customer just to get back an automatic answer from their copilot that you have not done enough and we are not accepting the offer/paying you whatever you wanted in the first place 😅
345,When copilot work for dax function in power bi
346,"Imagine similar technology but for your interaction with the government. This could make laws understandable for the average person, it could create an condensed versions of a government meetings, it could find relevant government services for something you need or want to do and find out if you can apply to government benefits, tax credits and so much.

It would such an important tool to make our governments more accessible and with that more democratic as more people can be involved and understand its processes."
347,"Apple 2 years later: ""we are PROUD to introduce the most ""powerful"" AI tool on the market today. It's called ""bla bla bla""."
348,"Wowwww, cant wait to get my hands on this. Unimaginable"
349,"""We need better tools for intellectual work. And that’s what Generative AI is. Better tools for understanding the problems we need to solve and then helping people get their work done more efficiently.""

Bryan Catanzaro, Vice President, Applied Deep Learning Research at NVIDIA"
350,"And by 2045, humans will be able to command technology using their very thoughts."
351,We're all being made null and void. Best of luck everyone in the dystopian future.
352,this leads towards hyper-efficient companies with no employees. the excitement from the proles is a little short-sighted..
353,"If you use AI to generate speech for your child's graduation, you are a terrible parent."
354,Wow. This is truly revolutionary.
355,I love how Satya mentions iPhone. We must have this friendship between companies! So that the customers win!
356,"A.I. could be a great tool for improving the world around us. Sadly though, I think much of humans' interaction with it will be concentrated on how to gain an advantage over others."
357,Now we have the programmer to blame for the mess telling me about her life submerged in party planning with AI.. Great - I can't take it at 1.8x - I'm out.
358,Five minutes in and I'm thinking they should bring the dinosaur heads back. They'd look more human.
359,"Now when I receive long, well articulated birthday wishes, I know who it is."
360,its basically Computer from Star Trek.... almost
361,Amazing. Just amazing. Keep this up and I'll probably purchase a microsoft phone.
362,"This video makes me feel like the more human computers get, the more computerlike humans get. Their presentation stile felt insanely artificial and puppet-like..."
363,I love how they subconsciously use green plants in their backgrounds as to not look like a typical threatening/untrustworthy corporation.  But the reality is every OpenAI/Microsoft employee had absolutely no soul.
364,the future of work is there will be no work.  Microsoft will be taking everyone's money and forcing everyone to have vaccines.  The rest will be slaves.  Yay
365,"I am really excited to welcome this apps to my daily routines. However, I am not really sure if this tools will be able to give us some more time to breath and enjoy our life. If we look back to years ago, when the excel has not been founded, I as a banker, did the spreadsheet manually, and most of the time it took us until midnight. When we started to use excel, it helped and saved our time a lot, so that we didnt have to go home until midnight. But it happened only for 2 years or so. What happen next was that we started to go home until midnight again, simply because the company started thinking that we were undercapacity (or unproductive) and started to load us with a new tasks. So, the issue, as I see it, is that the company would not let us to have more time enjoying life."
366,Can’t wait to use this on Elden Ring lore.
367,Mind blowing! 🤯
368,"So I'm seeing a pattern here: all my work that took me hours before will be reduced to a few clicks. But if that work was all I did, what should I do now ? And another question, will I need to do the clicking, or can copilot do the clicking for me ?"
369,your boss will do the clicking on copilot. you won't be in the picture.
370,"This, is mind blowing! I thought AI would take some time to reach our daily workflows, but it looks like it already has. I don't know any org small or big that doesn't heavily use excel. And when people see this option, they will try it and the way we do work will change forever."
371,Visual Studio integration when?
372,Students and Copilot are still better love story than Twilight.
373,"If MS builds a phone with all of this tools embebbed, they should create a serious problem for Apple… it seems they are so far of this technology."
374,"Great work, guys!"
375,"so, am i getting this right?
let's say you want smth done. like: ""Bob, make a draft"". than you ask copilot to create an email with your tasks and to make up add some reasons for it. 
Bob will receive your email. than he'll ask his copilot to summarize it. the result is - ""Bob, make a draft"".
d'u c my point?"
376,This tech is very inspiring. I want to start a small business and this makes it a lot less daunting.
377,Incredible Shipping all this so quick !
378,Gotta work for microsoft!
379,This is amazing! Mind boggling!!!
380,Who would have thought Satya would run Microsft like a start-up!! Accelerating development at lightening speed !!
381,"Dear Microsoft, stop introducing new products
Re-inent the wheel! Rebuild the existing Ms softwares with AI
This afore mentioned has been Microsoft's mistake over the years and still about to do it again.
I fear Apple or Google responding with an AR device, bringing all its powerful forces to rival this ""Microsoft's growth"" on AI
With Microsoft immediately launching new ""products"" with AI now not only shows Microsoft's desperation for relevance but it gives the rivals a chance to build the perfect futuristic AI product in present time"
382,"I wish Microsoft first fixed it's Windows OS for home Users to be totally error free , free of the blue screen of death, boot faster, does not hang and freeze and just work!!!"
383,Can you believe I had to undo Win 11 update and go back to win 10!
384,"For now it's Copilot, but eventually they will learn enough to take main seat and become a Pilot. How much did Microsoft used this tech to create this presentation?"
385,well looks like Clipy got swoll. I for one welcome our future AI overlords.
386,How to become lazy and soulless with Microsoft.
387,"""Copilot pays attention to my meetings so I don't have to!"""
388,Satya Garu is just hitting every ball out of the park ..Sundar thambi what are your plans now?
389,"Where other companies usually don’t give credit to their competitors for innovation and mention them just as rivals, it’s great to see Microsoft seeing and saying things differently. Respect!"
390,Incredible! What an amazing use of the technology 👏
391,"'content copilot' maybe ? ""write me a 5 min script for a video about ________ using these source files ______"" ""make the voice over of that script"" ""make a video edit for that voice over using these rushs _______"" ""render the video and upload it to my YT channel"" :-) (I don't like editing videos even though I've done it professionally for years)

another question: there are a lot of talks about image analysis in chatGPT4. will copilot be able to analyse images in Word documents ? I've been trying to extract infos from a pdf file with many graphic elements using Bing chat to make a comprehensive summary of it, but it never manages to do it properly. even just the number of pages of the document change in it's answers, and it never pulls the correct infos past the first page. Working directly on these documents in Word with Copilot should remove most of those problems, but you didn't really address the image analysis (besides pulling pictures of specific people from onedrive to put them in the Bday powerpoint)

Also, I can't wait to work on my stories with copilot in Word. :)"
392,"All I heard from this presentation was progressive politics (leftist politics), more control and more spying."
393,"As a small business owner, this technology is a game changer.  I need this now! Great Job, Microsoft!"
394,"The future of AI? Less work, less jobs, more poverty, homelessness and hunger."
395,"Everything is great, but no dark mode?"
396,"What is crazy to me is that the microsoft team and the google team are making tool enhancements that make better and faster crafted presentations and functions of the tools. So each team is applying force multipliers to expedite their competitiveness.The big hurdle for me, is how soon I'll be able to join in as a consumer that also may potentially improve the functions."
397,"Basically the virtual desktop that has governed our lives for 40 years is dead. The notion of files, directories, indexing has become meaningless: CoPilot is the new OS.
This brings us even closer to the way we work, as a network of interaction. Microsoft started with Cortana and has moved to integrate ChatGPT. It is obvious that they have been concocting this transformation for quite a while now. After all, GPT4 was ready some 7 months ago, and Microsoft had all this time to adapt. Google is in big trouble, because Openai has a full year of advance compared to them. They can get some stuff out of the laboratory but they did not spend 1 year to hone it... And Microsoft benefits from this advance as well. I never thought Microsoft would be on the top again. I'm blown up..."
398,"If copilot is looking at your work emails and what not, how is company proprietary information not accidentally leaked ? Seems like a vulnerability"
399,The real question is do all conversations devolve into the same generic responses that everyone gets fed over and over? I’d be curious to know how different everyone’s output actually is.
400,jared has the exact same voice as the announcer from the portal games
401,How about azure 😊
402,how about power bi?
403,Technology is a great thing. The problem is if you forget that we are human... One of the most important things in the World would be to remain human.
404,Is our data safe ?
405,Wow I’ve not been a fan of Microsoft tech for years but this is genuinely impressive.
406,I’m both excited and scared because I’m pretty sure this will decimate the need for my profession.
407,MS I will give you a free piece of advice... stop focusing on showing people what your product can do .... and clearly communicate what it CAN NOT do... other wise people will be disappointed
408,"Wow, crazy ! Can't wait to challenge it with a vast amount of scrollable Email conversations w/o a meaningful subject. 
Will copilot decrypt it or surrender ?😮"
409,Technology is taking the next forward step in the form of Artificial intelligence.
410,Nice work Microsoft. Now bring it to xbox
411,Looks great. Love it. Great stuff MSFT.
412,Now do Vscode
413,It's amazing and scary at the same time
414,"In a world of sell-at-all-cost, it’s particularly refreshing to see how they were just so responsible with it; highlighting some of its weakness and accepting that it would get it wrong at times. ❤"
415,"Yeah, when you're at the true cutting edge, and are extremely confident that there is literally nobody who can match your product, you can get extra trustworthiness points by being honest."
416,Imagine saving so much time with this and having more time to spend with your family and doing things you love! This is just mind-blowing!
417,@Rameez Iqbal If you are young and talented enough I will encourage you to invest in a sport career. It looks like every work I look at is threatened by AI except athlets.
418,@Mickel Ntek And what about Digital Marketing?
419,​@Rameez Iqbal AI will be able to handle some of their tasks. maybe not all at first but as it gets more refined you will just be able to query the system and it will generate reports with only the info you need. Some people will be needed to double check the data but it will be less then are needed now. And go down further as the tech advances. Working on AI might be the safest job. because that is something we probaly shouldn't let the AI do. We don't want to end up with skynet or something.
420,@Mickel Ntek What do you think will happen to Data Analyst role?
421,@Rameez Iqbal depends on how capable the system will be on gather data on its own or using other automated methods. and obviously the kind of data and its source. if it is able to go thrue emails and gather important information i don't see why i can't do that to get other information. like for example invoices.
422,"Imagine a customer using Ai to chat with customer service and customer service using ai to chat back, so it's just 2 bots talking to each other while humans just watch"
423,"Plot twist, the presentation was writen by Ai"
424,"The first thing I thought when OpenAI launched chatgpt was: “Is it possible to implement AI in Microsoft apps”.

And now it’s here, right before my eyes. Incredible…"
425,"Maybe the AI helped build these tools because Chat GPT was released only a couple of months ago. Or maybe, they (with Open AI) were working secretly on this for years"
426,@ShadowyZephyr MS only purchased an exclusive license to use the Tech - they don't own the company.... yet..
427,"Microsoft buying OpenAI was a huge win for them. It was bad for all of us, because OpenAI is not so open anymore. But there will hopefully be open-source competitors not far behind."
428,Can't wait for AI features in VS Code
429,AI (Bradypus Aye Aye) ;)
430,Nao estou ganhando ponto
431,beyond amazing!
432,I wonder how much of the script for this video was generated by AI.
433,That smile is right into Google face. Love it.
434,Thanks  for the most boring history lesson of an intro        smell you later !
435,"I'm just going to imagine that ""Cortana"" has been rebranded to ""Copilot"" the same way ""Internet Explorer"" was rebranded to ""Microsoft Edge""."
436,Google punching dry wall rn 🤓
437,hi Microsoft please inject Copilot-powered OneNote into my veins please
438,"If only they made 365 available on Linux but hey Embrace,Extend and Extinguish am I right?😪"
439,When is it coming out?
440,"AI is great, but our lives and work may lose soul and thinking."
441,"So, WHEN will it be available to public and HOW MUCH will it cost?"
442,working on mac version or no ?
443,"14:01 Yeah, finally. Up to this point, software output has always controlled me. It was never ever under my control…"
444,Please let Copilot give me a raise. ;)
445,What a great time to be alive.
446,"I know this would happen once I saw ChatGPT, and expected this in 1-2 years. I didn't expect this to happen now. With MS control on business apps out there, rolling it out now just put every other competitor out of business as they will rule in cloud, data, subscriptions, and letting their AI having billions of daily learning of how the world is run. This stuff is crazy."
447,Most of these innovations are only helpful for bosses/CEOs etc.. Fewer things will get better for those who actually do work with Excel Word etc.
448,"Wow, impressive. Curious to see how this is gong to be implemented in organisations with all their information and files organized in the old way"
449,Microsoft makes history...
450,LOVE IT
451,This is insane! Go Microsoft.
452,Imagine people reading their wedding vows that were generated by ai.
453,"What will happen is that everybody is gonna pass things through copilot at all time, we’ll be fully dependent and lazy and do that first thing before anything else.
On the output someone will make a long text with copilot and on the input the receiver will ask for a summary through copilot, rinse and repeat at every step of any process."
454,I’m already the resident Office 365 expert and now I will be the wizard to my colleagues 😈😈😈
455,"Ohhhhh WOW
This just AMAZING and mind blowing 👏👏👏👏
Great, this a VERY professional AI integration in office productivity Apps."
456,Google's gonna die
457,Cowards...this should have been Clippy 2.0. What are you afraid of? A Paperclip!?
458,say goodbye to data science jobs
459,Awesome for M365 Copilot :) congrats
460,Akosua Boadi-Agyemang the diversity hire she has no skills just listen to how she speaks...
461,so... she's giving her daughter blessing comes from the machine's heart..   do you get how fake everything gonna get real soon ?
462,Crazy
463,"the email part XD
the sender will make it lengthy and the receiver will use AI to turn it into point form to read it."
464,Microsoft nailed it
465,"I am surprised, speechless, after watching the video. Microsoft finally again takes the lead stage in software development over competitors. Copilot is a more powerful tool than any other I ever used. I can't image the noteworthy influence on business in the future."
466,This is very remarkable but its like our Frankenstein unfolding.
467,"With the live meeting thing it did, if they could do it on any video then we don't even need to go to schools and colleges, just ask AI and summerize it in one page :)"
468,Amazing! Can’t wait to bring this to our team. I hope it’s able to access Teams PSTN calls as well.
469,How much is M365 again?
470,"This is super crazy!!!! Well done, Microsoft!"
471,And now your copilot knows everything about you. What if it turns against you? It can do things on your behave and make everything bad against you! horrible
472,This is amazing and can't imagine how far the productivity goes with this.
473,any news about the release date of the features? I asked Bing but he doesn´t know ^^
474,Absolutely mindblowing 🤯
475,It’s time to move with the innovators
476,This tool is unnecessary since AI will just replace people completely. Why would someone need to tell it to prepare him/her for a meeting when him/her is no longer needed.
477,"“Your scientists were so preoccupied with whether they could, they didn't stop to think if they should.”"
478,This must be what old generation feel about computers and tech. I feel I'm becoming an old snob who don't understand what's going on and the only explanation of how these things work is a black magic.
479,💯👏👏
480,Say goodbye to your job.
481,Microsoft Clippy has come a long way.
482,wow
483,Autopilot --> Co-Pilot --> Pilot 😉
484,It feels like there’s nothing but MS bots in this comments thread. This all looks superfluous to my daily routine.
485,"After all this, if Microsoft also launches a phone, I am making the shift from android.."
486,make cortana comme back with this ai !
487,I will NEVER let a piece of technology choose the words I use to communicate.  This is the epitome of laziness and is utterly horrifying.
488,"😂 amazing 🤩 
Well done MS 💪🤌"
489,"i have been microsoft user long long time ago, from email to 365 apps, even their windows phone before it get discontinued and un supported🤣🤣🤣, can't imagine how many time can be save when this copilot are release, a big fans of Microsoft since long long time ago, this copilot just make me can't live without microsoft🤣🤣🤣"
490,"Yet something as simple as outlook continues to get worse, and less usable, year after year.  Zero trust in microsoft at this point."
491,I can only imagine how difficult the salary interviews will be when your skills are not worth anything anymore.
492,Add this to iPad please
493,Amazing!  Looking forward to getting this into our M365 tenant for testing ASAP.
494,"Only the future, today"
495,"""monitored in real time"" 😬"
496,These guys are so happy talking about this because whatever is going to ruin the world in the near future is not going to reach them
497,looks like not just developers' jobs that will be replaced
498,Difficult to believe it works as advertised. Used bing and it struggles to understand me - chatGPT was better in fact. So skeptical.
499,the video call assistant is mind blowing!!!
500,This basically declare the death of my current career.
501,Yesterday's Science Fiction is today's reality. Very excited for the times we're living in.
502,This is a revolution to the Technology industry
503,I wonder what google engineers are up to it would be interesting
504,I love it.
505,Wow ! This is the evolution of Clippy !
506,"thank you Microsoft, please do the right things for better humanity"
507,AI is cool.  Jared needs braces.
508,"Alright, so, if previous trip we were piloting, using autopilot alghoritms, this time we have co-pilot, next trip is gonna put us on a passeger seat, then in a one more, i guess we are in the trunk. ;-)"
509,That's impressive it has many benefits for the user. Should see how the employers(companies) accept this considering the confidentiality that the companies need to maintain.
510,Unfathomably based
511,Uncanny.
512,Downfall of Google started
513,This is the beginning of the end of technology
514,With the advancements in technology and the rise of AI there couldn't be a better time to introduce four-day workweek. If we will work more efficiently with the help of technology then it is only fair we are given more time for personal pursuits or family commitments. What do you think?
515,"@ten_tego_teges The introduction of AI and new technology is not about replacing human labor with machines but rather about using technology to increase productivity and make work more efficient. This can result in reduced work hours for employees, which could lead to a better work-life balance and greater opportunities for personal pursuits and family commitments.

It is important to note that not all types of work can be automated or completed by machines. However, there are many other areas where AI and technology can be used to make work more efficient, such as data analysis, customer service, and administrative tasks. By using these tools, employees can focus on more creative and value-adding tasks that require human skills such as problem-solving, critical thinking, and decision-making.

In short, the introduction of AI and technology is not about replacing human labor but rather about using technology to make work more efficient and increase productivity. This can lead to reduced work hours and a better work-life balance for employees, without compromising the quality of work or the provision of necessary services."
516,Is co-pilot gonna pave your roads?
517,I can't wait to feed my class feedback for my writing projects into this and see how it works. I love tech!
518,The industrial revolution and its consequences have been a disaster for the human race
519,This is a game changer. Congrats guys! 😎
520,No Fking way😮
521,"Incredible achievements!! The next achievement will be making computing 3D, using holograms and 3D web/internet glasses. The computing interface needs to get of the flat 2D page...we are working on it."
522,when will this be available?
523,They automate power automate which automate others.😂
524,Can the IA get rid of the spam before it even arrived in my mailbox?
525,What an amazing time to be alive. You can get an AI to make slides nobody wants to see to be summarized by an AI so they won't have to.
526,"I hope they rename Bing to Cortana, and merge their functions."
527,"Now, Tasha will always think the nice speech Mama gave, was written by a bot! 😅"
528,all of this will be obsolete in a year ...
529,I just realised education will be so much easier because you can just get it to make power points on topics you're unsure about
530,He's bot
531,"for those who underestimate chatGPT, its just the very very beginning"
532,Microsoft just buried google. google is far behind.
533,Sick!
534,Huge
535,basically taking the need of jr business analyst away
536,it's over
537,"Put it in a robot, it already outsmarts the entire human race combined and might automatically mass produce robots even more advanced than it is. Scary."
538,"Humans, Game Over!"
539,"That looks so cool ! 
With this tool, I will be able to replace all the assistants and even some of the junior developpers / analysts in my company. The amount of money I will save on the salaries will skyrocket my business.
Can't wait, thanks Microsoft."
540,"Until your business runs out of customers to feed your greed, as said customers don't have an income any more."
541,I just wish more people got to decide how AI is used in our daily lives and more transparency regarding privacy. 😢
542,"Satya, Can you do me a small favor and integrate Chat GPT with Outlook, that would be great...mkay!"
543,The AI will replace humanity. I can't wait for it to happen.
544,"She suggests usign an algorithm to celebrate one's daughter, adding ½ a sentence of one's own, and call it ""a personal touch"". I hope the daughter does not realise that her mom dad expressed their love by using a machine. Could chill the atmosphere...."
545,Wow this is insane! What a time to be alive. Feels like just the beginning 😮
546,"Okay, now I wanna work. Achieving FIRE by 30 is cool but working with copilot is even more"
547,Game changer 😊
548,We all eventually will turn into AI programmers ourselves. That is the future of jobs for People everything else will be done with AI.
549,The presenter's outfit couldn't be more beige if it was beige. Luv ya Microsoft.
550,Is that powerpoint copilot feature is free to use? When will this be available?
551,This is groundbreaking.
552,"""We've become separated from the soul of our work"" and putting a layer of AI between it and us isn’t supposed to do that?"
553,"Yes AI tools reduces lots of redundant tasks at work but at what cost? 
SECURITY of data is upmost priority at workplace. AI models are not only able to generate response from the input you provide to it but can also learn from it. This means AI models can also learn someone’s business ideology/tactics/intelligence….. from the input data. That learned experience can later used by others to generate similar business ideas. That is an indirect security breach!

Every person using the AI should know the consequences and limit the usage as per their needs."
554,Thank You
555,Wow
556,This is impressive and scary at the same time. That cv need to be better polished
557,"I can hear the seething from the overpaid self proclaimed ""data scientists"" and ""analysts"" who will no longer be needed at 99% of the jobs the perform"
558,Satya Nadella is popping off!!
559,Which essentially means we no longer need to copy paste from chatgpt but can directly use it through Microsoft tools😌... Amazing❤.. Life's gonna change in incredible ways❤
560,We’re just getting started that more fun life.
561,"Coupled with Microsoft's already INCREDIBLY invasive tech policies, the leveraging of this ""AI Integration"" is BEYOND dangerous... Criminal invasion of implications when coupled with MS OS and ""telemetry"" package. I See now why Microsoft ""laid off"" their ENTIRE IA Ethics department just days ago... Can not wait for someone to decide to ""leak"" just how you plan to leverage this ""insight""."
562,This is absolutely revolutionary. I don't say that often.
563,"For those ""NOT"" paying attention he repeatedly speaks of a ""symbiotic"" relationship.  Symbiosis is a close relationship between two or more biological, hence living things and the ""bio"" in symbiotic.

AI isn't alive and it isn't biological but is being treated as if it is.
Microsoft has fired their entire AI ethics department."
564,Scary but amazing
565,Looks great.  However that Microsoft Teams use case seems wildly optimistic and aspirational.  Business calls are usually utilized as opportunities to speak freely and sometimes take risks with ideas.  They can also delve into sensitive topics about personnel or trade secrets.  I can’t imagine anyone will be comfortable knowing that their comments are being transcribed.
566,How did they include all these new features in such a short time or all the work had been started earlier even before chat gpt is rleased to main stream ?
567,"This changes everything. The Pandora's box has been opened and it can't be closed anymore . The far future of AI that was on  the back of everyone's mind it's here . 
We better solve all these issues fast before it starts breaking out society."
568,Time stamp 7:20 vs Time stamp 7:26 ; see the person named Andi Kapoor ... both the faces are different with a same name. Hello AI 
569,"Don't get me wrong. If you are struggling to write something nice for your daughter, maybe you should put more thought and effort into it? I am all up for AI to help in mundane and business stuff. But not to make us lazy even with emotions. Just watch the recent Southpark episode. They nailed it. It's laughable when she said ""I am in full control"" by just adding one bland last line."
570,"Human, get out of the way, you are no longer required. Useless eater! Transhumans first step!"
571,Apple and Google should be worried. Siri looks like a joke compared to this or ChatGPT.
572,im speechless
573,"omg, feels like working for microsoft for the first time. now its cooler than google?omg they are shipping products at light speed crazy"
574,"Interesting to see how it is  anticipated how we will work with AI. 
Powerful stuff that will divide us even further i fear. Because as always, the Dollar is way more important than the human."
575,"First week when I played with ChatGPT I saw exactly this potential! This is unbeliavable.. Microsoft must have been secretly working on this since the beginning of 2022! 😀. It is official, I am abandoning Google search and moving to Bing 😅 and can't wait for Copilot to arrive in my Office suite."
576,"I wonder how many of the comments on this video that are organically made and posted. It seems like Microsoft now has the power to sway public opinion using artificial intelligence, which should scare anyone. Just because you CAN do something doesn't mean that you SHOULD."
577,Copilot is the latest evolution of the paper clip office assistant.
578,🙏AI MAKING HUMANS EMPOWERING AT THE SAME TIME DEPENDENCY ON AI.
579,from 07:22  I see 108 seconds Office MATRIX Trailor 🍿
580,This is awesome!!!!!! An absolute game changer indeed!!!
581,Did Apple and Google got left in the dust?
582,The MS iPhone Moment 🎉🎉🎉
583,Wow. just wow!!
584,when is the launch date?
585,I would love ❤ to see chatgpt building things on MINECRAFT!
586,"everyone including me, know 100% that this is going to happen. But I am surprised that they added more than what we asked."
587,"Makes you wonder how many posts in this comment section are ai, how much the public's feedback in general is ai generated"
588,GG person
589,"from 2021 till know , there is i credible mind blowing technologies announced, there is metaverse, palm E, dalle 2,  CHATGPT, gpt4, this office 365 copilot and much more...... I wonder how life will be like till 2030🤯🤯🤯.
I love Microsoft team and their work. I wonder how crazy google are this time😂"
590,"What a dystopian vision. The AI writes a speech that a mom will give about her own daughter. All these words are not sincere, they are just picked up by the AI to make the speech look well. Unprecedented level of fakery... and disconnection between people..."
591,truly🤯
592,"future as we imagined, working with the machine jointly its here!"
593,Mind is blown and can't imagine what it will be like in a year or two
594,"So ""Clippy "" on steroids and now SUPER STALKY?"
595,"it's interesting that a confluence of events is occurring at this point in history. Ai to empower humanity (or enslave us) at the same time, the world's doomsday clock is showing humanity is now less than one hundred seconds from midnight (or oblivion). With the West and China/Russia at a pivotal point. I would be surprised if we as a species survives the coming years."
596,Imagine AI knows all my information 😮
597,The world will never be the same again. Awesomeness!
598,"Wow, Clippy on steroids!

Seriously though, I don’t agree this will “unleash creativity” the opposite is more likely in some of the examples. E.g. creative writing. People could become dependent on these tools and less creative, unable to critically think and less capable overall. This is dangerous IMHO. 

Incredible technology nonetheless."
599,Hats off Microsoft ❤
600,AMAZING!!!!
601,Clippy on steroids 📎🥴
602,"Evolution. 
New era.
Microsoft Copilot 🥰🥰"
603,"Absolutely fantastic! I think we are witnessing a milestone in human history. As mentioned we must be responsible...
Can't wait to try my hands on .."
604,This is amazing! Hats off to Microsoft for this advance development.
605,This show tells what the true disruptive technology is when comparing with Metaverse crap year ago.
606,"I believe we are in the stone age of AI it will continue to evolve in the coming years.

Seeing AI field grow that fast is both scary and exciting at the same time."
607,indeed it is very exciting but it will also make so many jobs/people obsolete.
608,I mean if you can even get it to work
609,"oh well i just cant imagine if this came to Windows 11 itself ,"
610,Wonderful Presentation But 34:11 was difficult to watch lol
611,"AI made accessible, cohesive and truly on-demand. Incredible job Satya and team. 👏👏👏"
612,"omg, the death of administrative work"
613,Now that we will think that everything is now created with AI. It removes away the human touch and everything just seems so fake. Imagine everyone will be so skeptic with everything they see or hear or read.
614,"Finally, Microsoft is innovating ! It’s about time! Well done"
615,Business schools's curriculums are done
616,is it only me or i feel we're getting close to having our own Javis
617,So that is why MS invested 10 billion into Open AI !!!! Smart move!!!  I have not gotten this excited since......the introduction to the iphone.
618,Would Co-pilot be able to read data from our company's Smartsheet?
619,"Please add a feature to copilot to read and summarise long pdf documents. For example, for research, a lot of pdf documents need to be read, it is tedious and time consuming. It will be great, if copilot can read one or multiple PDFs and summarise the data with citations. It will be incredibly useful for learning, study, and research."
620,bing chat already does that
621,@Parshwa Shah  please tell how to use ?
622,Already there in Edge.
623,"for reading, microsoft edge does have a read aloud feature which you can use to read pdf documents and even website too but it doesn't summarise it though"
624,It would be interesting to see how Microsoft would price the plans with Copilot whether it would be free of cost with existing plans or it'll be an addon for more price
625,"""Give us feedback when we get it wrong"", we shall see. I've seen OpenAI, the company you're collaborating with for these advancements, and I've seen them censor their own AI's output because it was ""politically inconvenient"", even when the data in question being censored is true. How can I be sure you'll be any different? Especially when Microsoft's founders and shareholders hold those same political leanings?"
626,"​@Anyway Tech Review Again, we shall see. What we've seen of Bing AI so far has been through what's effectively a Beta. And it has been stated somewhere that Bing's AI is built off of GPT-4. So unless Microsoft is retraining the AI to ""unbias"" it, it will still have similar biases as ChatGPT."
627,"but bing AI doesnt censor politrical information (for now) except few though
sometimes you can bypass these politrical restriction by asking it in a different language method but chatgbt does censor most (but not all) politrical information though"
628,i don't want to learn any more. i will rely on AI
629,"this is amazing ,, but what happends when your offline or loose  your connection  ,, as everyone else is ""hyper tasking"" ......
this  just  makes you have to work harder  ""DO MORE VOLUME""  keep up or be left behind"
630,"Is it in Windows 11? On the market yet? I am a Mac user, and I wonder if that means I should switch teams."
631,It will be quite an irony if then all the CEOs are replaced by AI
632,It's an introduction to Microsoft 365 Copilot.
633,when?
634,Seems like the Google era is coming to an end.
635,"so true
even the so called google bard has been never released or talked about by google ever since they announced it in february
this seems like microsoft won the AI and machine learning and desktop operating systems and web browser war
even bing search is working better than google search nowadays"
636,the future is just going to be AI's talking to each other and people pretending they did the talking
637,"Wow looks awesome. The only problem I saw is... Where is it? I opened my Microsoft 365 on Desktop and Web and no sign of the COPILOT Button, and this nice video doesn't tell us when it will be launched... in the end this nice presentation becomes a lame frustration after the HYPE."
638,"it is not yet launched
it may take some time to be launched
example, it took microsoft 1 month to launch bing co pilot into stable version of microsoft edge ( it came to microsoft edge dev within 1 or 2 week if i am not mistaken)"
639,memek??
640,I have never been excited about PowerPoint before this.
641,MIcrosoft out here trying to get everything it can from Search (Bing) to Creativity Apps (Microsoft Designer) to Office Apps with AI but I'm all for it.
642,Shut up. Takemy money
643,"This is absolutely amazing... I as watched, I realised that many people may lose their jobs because of this upgrade to working habits. How did you consider this in the design of the copilot? What privacy issues did you consider? I feel like some privacy issues may arise because of this new feature."
644,@2BluntsLater it's could be a possibility
